ng-3-0_0_0_1_1_0,ng-3-0_0_0_1_1_0-cum,ng-3-0_0_0_1_1_0-tier,ng-3-0_0_0_0_1_0,ng-3-0_0_0_0_1_0-cum,ng-3-0_0_0_0_1_0-tier,ng-3-2_0_0_1_1_0,ng-3-2_0_0_1_1_0-cum,ng-3-2_0_0_1_1_0-tier,ng-3-2_0_0_0_1_0,ng-3-2_0_0_0_1_0-cum,ng-3-2_0_0_0_1_0-tier,ng-3-0_1_0_0_1_0,ng-3-0_1_0_0_1_0-cum,ng-3-0_1_0_0_1_0-tier,ng-3-0_1_0_1_1_0,ng-3-0_1_0_1_1_0-cum,ng-3-0_1_0_1_1_0-tier
,,,,,,,,,-66.40122067320176,5.603448275862069,3,,,,,,
,,,,,,,,,-66.40122067320176,5.665024630541872,3,,,,,,
,,,,,,,,,-66.40122067320176,5.726600985221675,3,,,,,,
,,,,,,,,,-66.40122067320175,5.788177339901478,3,,,,,,
,,,,,,,,,-66.40122067320175,5.849753694581281,3,,,,,,
,,,,,,,,,-66.40122067320173,5.911330049261084,3,,,,,,
,,,,,,,,,-66.40122067320173,5.972906403940887,3,,,,,,
,,,,,,,,,-65.15433867320186,6.0344827586206895,3,,,,,,
,,,,,,,,,-56.95019694412731,6.096059113300493,3,,,,,,
,,,,,,,,,-56.950196944127114,6.157635467980295,3,,,,,,
,,,,,,,,,-55.59053306235405,6.219211822660099,3,,,,,,
,,,,,,,,,-55.411183339868536,6.280788177339901,3,,,,,,
,,,,,,,,,-55.41118333986847,6.342364532019705,3,,,,,,
,,,,,,,,,-53.91558833986852,6.403940886699507,3,,,,,,
,,,,,,,,,-53.91558833986852,6.4655172413793105,3,,,,,,
,,,,,,,,,-52.419972673201876,6.527093596059113,3,,,,,,
,,,,,,,,,-52.419972673201805,6.588669950738916,3,,,,,,
,,,,,,,,,-51.39799061079374,6.65024630541872,3,,,,,,
,,,,,,,,,-50.924367339868496,6.711822660098522,3,,,,,,
,,,,,,,,,-50.924367339868496,6.773399014778326,3,,,,,,
,,,,,,,,,-50.924367339868496,6.834975369458128,3,,,,,,
,,,,,,,,,-49.56904894412715,6.8965517241379315,3,,,,,,
,,,,,,,,,-43.05990500653519,6.958128078817734,3,,,,,,
,,,,,,,,,-40.520550339868514,7.019704433497537,3,,,,,,
,,,,,,,,,-40.52055033986848,7.08128078817734,3,,,,,,
,,,,,,,,,-40.52055033986848,7.142857142857143,3,,,,,,
,,,,,,,,,-35.0863651978437,7.204433497536946,4,,,,,,
,,,,,,,,,-33.05167961079383,7.266009852216749,3,,,,,,
,,,,,,,,,-22.74257127746049,7.327586206896552,3,,,,,,
,,,,,,,,,-19.35689167320187,7.389162561576355,3,,,,,,
,,,,,,,,,-13.06959266993424,7.4507389162561575,4,,,,,,
,,,,,,,,,-5.534638944127282,7.512315270935961,3,,,,,,
,,,,,,,,,1.836846722539474,7.573891625615763,3,,,,,,
,,,,,,,,,2.550497802156317,7.635467980295567,4,,,,,,
,,,,,,,,,12.314888722539383,7.697044334975369,3,,,,,,
,,,,,,,,,13.002568055872974,7.758620689655173,3,,,,,,
,,,,,,,,,15.953283389206112,7.820197044334975,3,,,,,,
,,,,,,,,,21.097990722539475,7.8817733990147785,3,,,,,,
,,,,,,,,,21.194204055872863,7.943349753694582,3,,,,,,
,,,,,,,,,21.349170389206115,8.004926108374384,3,,,,,,
,,,,,,,,,21.821754027936414,8.066502463054187,4,,,,,,
,,,,,,,,,28.485329722539536,8.128078817733991,3,,,,,,
,,,,,,,,,30.542149389206198,8.189655172413794,3,,,,,,
,,,,,,,,,37.84613538920624,8.251231527093596,3,,,,,,
,,,,,,,,,40.87269430215634,8.312807881773399,4,,,,,,
,,,,,,,,,46.553664694603086,8.374384236453203,4,,,,,,
,,,,,,,,,47.10884338548965,8.435960591133005,4,,,,,,
,,,,,,,,,48.50673138548964,8.497536945812808,4,,,,,,
,,,,,,,,,51.926457802156385,8.55911330049261,4,,,,,,
,,,,,,,,,53.134625389206256,8.620689655172415,3,,,,,,
,,,,,,,,,55.29438636126977,8.682266009852217,4,,,,,,
,,,,,,,,,58.39493621882299,8.74384236453202,4,,,,,,
,,,,,,,,,61.9853540279364,8.805418719211822,4,,,,,,
,,,,,,,,,68.8650993612697,8.866995073891626,4,,,,,,
,,,,,,,,,69.0421783612697,8.928571428571429,4,,,,,,
,,,,,,,,,69.35987369460304,8.990147783251231,4,,,,,,
,,,,,,,,,70.81628330215628,9.051724137931034,4,,,,,,
,,,,,,,,,71.14460433006575,9.113300492610838,4,,,,,,
,,,,,,,,,75.71998888548967,9.17487684729064,4,,,,,,
,,,,,,,,,76.97872602793637,9.236453201970443,4,,,,,,
,,,,,,,,,81.5658208854897,9.298029556650247,4,,,,,,
,,,,,,,,,84.35549932679818,9.35960591133005,3,,,,,,
,,,,,,,,,86.52020133006569,9.421182266009852,4,,,,,,
,,,,,,,,,86.52020133006575,9.482758620689655,4,,,,,,
,,,,,,,,,88.48647488548964,9.544334975369459,4,,,,,,
,,,,,,,,,91.72696133006572,9.605911330049262,4,,,,,,
,,,,,,,,,91.72696133006576,9.667487684729064,4,,,,,,
,,,,,,,,,92.53010802793641,9.729064039408867,4,,,,,,
,,,,,,,,,92.59336855215629,9.79064039408867,4,,,,,,
,,,,,,,,,93.24865833006568,9.852216748768473,4,,,,,,
,,,,,,,,,93.24865833006568,9.913793103448276,4,,,,,,
,,,,,,,,,93.24865833006571,9.975369458128078,4,,,,,,
,,,,,,,,,97.15241599673227,10.036945812807883,4,,,,,,
